Name,Points,Off_Reb,Def_Reb,Assists,Steals,Blocks,Turnovers,Fouls,Matches,1pt_M,1pt_A,2pt_M,2pt_A,3pt_M,3pt_A,1pt %,2pt %,3pt %
"Walter Tavares",408,96,164,48,28,48,80,112,40,72,96,168,228,0,0,75.00,73.68,0.00
"Tarik Biberovic",382,33,81,51,18,7,18,85,37,29,37,55,111,81,185,78.38,49.55,43.78
"Edgaras Ulanovas",223,34,61,61,17,3,30,91,34,68,81,37,78,27,64,83.95,47.44,42.19
"Jabari Parker",536,39,117,66,31,7,58,66,39,50,62,132,237,74,195,80.65,55.70,37.95
"Facundo Campazzo",464,27,93,234,39,3,85,156,39,136,156,89,156,50,152,87.18,57.05,32.89
"Justin Anderson",256,25,77,51,25,11,25,66,37,37,41,66,107,29,74,90.24,61.68,39.19
"Alex Smailagic",235,31,52,11,11,17,52,66,29,34,49,66,98,23,63,69.39,67.35,36.51
"Maodo Lo",284,11,31,60,11,0,31,46,29,29,34,72,127,37,116,85.29,56.69,31.90
"Matthew Strazel",338,20,32,98,20,0,41,82,41,69,82,49,98,57,139,84.15,50.00,41.01
"Nemanja Nedovic",246,13,27,78,13,2,35,51,27,37,48,37,78,45,116,77.08,47.44,38.79
"Gabriel Deck",221,28,61,39,14,5,28,50,28,33,53,61,100,22,50,62.26,61.00,44.00
"Jaleel Blossomgame",308,52,112,20,16,8,16,88,40,36,56,100,164,24,76,64.29,60.98,31.58
"Devin Booker",411,50,81,44,19,5,44,109,28,81,98,120,207,30,78,82.65,57.97,38.46
"Dzanan Musa",429,17,84,70,14,3,59,112,35,112,136,91,168,45,122,82.35,54.17,36.89
"Nikola Milutinov",234,78,89,23,17,20,17,72,29,66,81,84,145,0,0,81.48,57.93,0.00
"Nikola Kalinic",306,45,101,91,28,3,59,94,35,52,80,70,122,38,91,65.00,57.38,41.76
"Willy Hernangomez",274,57,81,17,20,3,37,105,34,64,98,105,166,0,0,65.31,63.25,0.00
"Tyrique Jones",366,89,102,32,35,22,54,128,32,92,140,137,220,0,0,65.71,62.27,0.00
"Donta Hall",298,64,119,30,17,37,23,88,34,68,98,115,159,0,0,69.39,72.33,0.00
"Nando De Colo",365,9,44,144,25,0,73,108,32,89,96,57,105,54,144,92.71,54.29,37.50
"Georgios Papagiannis",212,31,66,14,14,37,6,66,29,17,19,81,118,11,29,89.47,68.64,37.93
"Marko Guduric",386,14,79,111,25,3,72,115,36,90,104,79,133,46,126,86.54,59.40,36.51
"Shavon Shields",332,16,84,72,19,0,42,78,28,56,78,75,140,42,100,71.79,53.57,42.00
"Chimezie Metu",259,24,91,24,14,14,40,43,24,26,36,88,141,19,55,72.22,62.41,34.55
"Nick Weiler-Babb",280,44,98,166,51,3,54,54,34,23,34,37,68,61,139,67.65,54.41,43.88
